EP300_4928	AUC = 0.944
SMAD3_71285	AUC = 0.899
SMAD3_71283	AUC = 0.886
SMAD3_71284	AUC = 0.885
SOX2_51582	AUC = 0.876
SOX2_51586	AUC = 0.869
SOX2_34092	AUC = 0.868
NANOG_4932	AUC = 0.864
NANOG_57188	AUC = 0.863
SMAD3_71282	AUC = 0.857
NANOG_4933	AUC = 0.855
NANOG_51520	AUC = 0.853
SMAD1_51564	AUC = 0.850
NANOG_34102	AUC = 0.849
NANOG_51513	AUC = 0.847
NANOG_34089	AUC = 0.843
SOX2_44233	AUC = 0.843
NANOG_51516	AUC = 0.842
SOX2_4931	AUC = 0.837
OTX2_51530	AUC = 0.829
BCL11A_46178	AUC = 0.829
SOX2_67318	AUC = 0.818
POU5F1_34100	AUC = 0.810
BCL11A_46186	AUC = 0.808
NANOG_51518	AUC = 0.808
POU5F1_51546	AUC = 0.807
POU5F1_58495	AUC = 0.805
POU5F1_33866	AUC = 0.801
POU5F1_5754	AUC = 0.800
POU5F1_58494	AUC = 0.799
OTX2_51529	AUC = 0.796
CTNNB1_53653	AUC = 0.794
SOX2_48551	AUC = 0.787
POU5F1_63137	AUC = 0.785
SMAD3_34016	AUC = 0.783
POU5F1_5755	AUC = 0.776
POU5F1_48550	AUC = 0.773
LEF1_53651	AUC = 0.773
NANOG_51514	AUC = 0.761
TCF4_51609	AUC = 0.760
POU5F1_963	AUC = 0.760
POU5F1_46194	AUC = 0.757
NANOG_955	AUC = 0.753
POU5F1_33864	AUC = 0.747
SMARCA4_5227	AUC = 0.743
SMAD3_34012	AUC = 0.743
POU5F1_63136	AUC = 0.741
SSU72_49742	AUC = 0.735
CHD7_45231	AUC = 0.734
CHD7_8808	AUC = 0.734
FAIRE_32984	AUC = 0.732
EOMES_51448	AUC = 0.728
OTX2_51524	AUC = 0.721
EP300_1007	AUC = 0.704
POU5F1_5753	AUC = 0.698
NIPBL_53671	AUC = 0.697
OTX2_51522	AUC = 0.696
NIPBL_53670	AUC = 0.695
SMAD3_34017	AUC = 0.692
POU5F1_58485	AUC = 0.690
SOX2_58179	AUC = 0.686
NIPBL_53673	AUC = 0.683
SOX2_58178	AUC = 0.683
POLR2A_53659	AUC = 0.683
SP1_46190	AUC = 0.682
SMAD3_278	AUC = 0.682
NIPBL_53672	AUC = 0.680
OTX2_51525	AUC = 0.680
POU5F1_58486	AUC = 0.679
NANOG_46173	AUC = 0.673
FOXH1_1011	AUC = 0.673
SOX2_58176	AUC = 0.671
POLR2A_53660	AUC = 0.667
NELFE_53337	AUC = 0.663
HDAC2_46181	AUC = 0.660
TEAD4_46189	AUC = 0.656
EP300_46165	AUC = 0.655
TCF12_46166	AUC = 0.654
POLR2A_53661	AUC = 0.653
KLF4_48552	AUC = 0.652
ATF2_46193	AUC = 0.651
SMAD3_1085	AUC = 0.650
MAFK_45687	AUC = 0.647
OTX2_49947	AUC = 0.644
POLR2A_46187	AUC = 0.643
TP53_43999	AUC = 0.642
SMAD3_1084	AUC = 0.641
YY1_46170	AUC = 0.641
POLR2A_53658	AUC = 0.641
SMAD2_5366	AUC = 0.640
SOX2_67317	AUC = 0.630
CHD7_49781	AUC = 0.630
TP53_50345	AUC = 0.629
NELFE_53338	AUC = 0.622
MAX_46180	AUC = 0.621
MAX_45682	AUC = 0.618
TP53_33077	AUC = 0.616
TP53_44000	AUC = 0.614
TP53_44762	AUC = 0.614
JUND_45696	AUC = 0.613
H2AZ_6456	AUC = 0.612
ATF4_55516	AUC = 0.612
POLR2A_46168	AUC = 0.611
H2AZ_45224	AUC = 0.611
SMAD2-SMAD3_1082	AUC = 0.611
EP300_3232	AUC = 0.609
MED1_58492	AUC = 0.609
SMAD2-SMAD3_1080	AUC = 0.609
JUND_46191	AUC = 0.608
CEBPB_45681	AUC = 0.608
SMAD2-SMAD3_51567	AUC = 0.608
JUN_45685	AUC = 0.607
EOMES_51447	AUC = 0.606
SMAD4_1086	AUC = 0.606
CHD2_45701	AUC = 0.606
TP53_44768	AUC = 0.605
CTBP2_45693	AUC = 0.604
ATF4_55518	AUC = 0.602
POLR2AphosphoS5_63406	AUC = 0.602
TAF1_46196	AUC = 0.601
RAD21_46164	AUC = 0.601
EOMES_1006	AUC = 0.600
POLR2A_49743	AUC = 0.598
EOMES_51445	AUC = 0.598
SMAD2-SMAD3_1083	AUC = 0.597
FOXH1_1010	AUC = 0.596
FOXA1_52677	AUC = 0.596
RXRA_46192	AUC = 0.596
SMARCC1_72130	AUC = 0.596
POLR2A_34013	AUC = 0.596
ATF4_55517	AUC = 0.593
MED1_58493	AUC = 0.592
E2F6_46177	AUC = 0.591
TBP_45684	AUC = 0.590
CREB1_46182	AUC = 0.590
TRIM28_48923	AUC = 0.589
FAIRE_33601	AUC = 0.587
SMAD2-SMAD3_1081	AUC = 0.586
TP53_55387	AUC = 0.586
USF1_46171	AUC = 0.586
TAF7_46195	AUC = 0.586
BACH1_45690	AUC = 0.585
POLR2AphosphoS5_63407	AUC = 0.585
EGR1_46169	AUC = 0.584
SP4_46179	AUC = 0.584
FOXA2_51455	AUC = 0.584
RAD21_45689	AUC = 0.583
RBBP5_8820	AUC = 0.580
TP53_44763	AUC = 0.579
REST_46172	AUC = 0.579
ZNF143_45688	AUC = 0.578
SMAD4_1087	AUC = 0.578
TP53_44770	AUC = 0.576
FOXA1_51450	AUC = 0.573
POLR2A_35269	AUC = 0.572
POLR2A_8097	AUC = 0.572
FOXP1_1012	AUC = 0.570
POLR2A_34073	AUC = 0.570
SRF_51590	AUC = 0.569
FOXA2_51459	AUC = 0.569
TP53_2795	AUC = 0.568
CTCF_51439	AUC = 0.568
SMC1A_2896	AUC = 0.568
CTCF_46184	AUC = 0.567
MYC_45691	AUC = 0.566
POLR2A_35106	AUC = 0.565
SIN3A_45699	AUC = 0.565
GATA4_51466	AUC = 0.565
CTCF_51442	AUC = 0.562
CTCF_36632	AUC = 0.562
BRD4_36299	AUC = 0.561
TP53_44764	AUC = 0.561
GATA4_51468	AUC = 0.561
CTCF_45230	AUC = 0.560
GATA4_51465	AUC = 0.560
CTCF_36578	AUC = 0.559
GATA6_51476	AUC = 0.559
POLR2A_40284	AUC = 0.559
SMC1A_34008	AUC = 0.559
USF2_45694	AUC = 0.559
GABPA_46185	AUC = 0.558
TP53_52165	AUC = 0.557
CTCF_832	AUC = 0.557
CHD8_51103	AUC = 0.557
SMARCA4_64634	AUC = 0.557
SMC3_34011	AUC = 0.557
CTCF_50987	AUC = 0.556
CTCF_58489	AUC = 0.556
H3F3A_64212	AUC = 0.556
CTCF_70062	AUC = 0.555
CTCF_58490	AUC = 0.555
CTCF_51438	AUC = 0.554
SMAD3_276	AUC = 0.554
YY1_46021	AUC = 0.554
GATA4_51464	AUC = 0.554
GATA4_51467	AUC = 0.553
SMARCA4_64633	AUC = 0.553
GATA6_51482	AUC = 0.552
FOXP1_1013	AUC = 0.552
POLR2A_53665	AUC = 0.551
CTCF_50990	AUC = 0.550
CTCF_50988	AUC = 0.550
SRF_51594	AUC = 0.550
MED1_58483	AUC = 0.549
POU5F1_63393	AUC = 0.549
CTCF_58481	AUC = 0.549
CTCF_58480	AUC = 0.548
SIX2_69249	AUC = 0.548
CTCF_57283	AUC = 0.548
CTCF_35846	AUC = 0.547
CTCF_8086	AUC = 0.547
TP53_40287	AUC = 0.547
FOXA2_52681	AUC = 0.547
ETS1_63824	AUC = 0.547
SRF_46167	AUC = 0.547
CTCF_64047	AUC = 0.547
CTCF_64048	AUC = 0.546
POLR2A_53662	AUC = 0.545
GATA6_51480	AUC = 0.544
TP53_52167	AUC = 0.544
EP300_45242	AUC = 0.544
EP300_8817	AUC = 0.544
OTX2_74361	AUC = 0.544
NUP98-HOXA9_72703	AUC = 0.544
ASCL1_49723	AUC = 0.544
SRF_51592	AUC = 0.543
CTCF_51443	AUC = 0.543
SETDB1_71056	AUC = 0.543
POLR2A_53666	AUC = 0.543
RBBP5_8819	AUC = 0.543
CTCF_57284	AUC = 0.542
TP53_44769	AUC = 0.542
NFE2_63877	AUC = 0.542
SMAD1_51554	AUC = 0.542
SIN3A_46183	AUC = 0.541
OTX2_74356	AUC = 0.541
CTCF_75572	AUC = 0.541
CTCF_75575	AUC = 0.541
CHD1_45686	AUC = 0.541
SIX2_67424	AUC = 0.541
SIX2_69248	AUC = 0.541
OTX2_74362	AUC = 0.540
CTCF_50991	AUC = 0.540
CTCF_75573	AUC = 0.540
OTX2_74345	AUC = 0.540
CTCF_75574	AUC = 0.539
MXI1_45695	AUC = 0.539
POLR2A_53664	AUC = 0.538
RBBP5_45232	AUC = 0.538
OTX2_74354	AUC = 0.538
GTF2F1_45683	AUC = 0.538
OTX2_74358	AUC = 0.537
CTCF_46048	AUC = 0.537
GTF2I_50695	AUC = 0.537
CTCF_46047	AUC = 0.536
CTCF_42150	AUC = 0.536
RAD21_42951	AUC = 0.536
CTCF_42153	AUC = 0.536
ZNF281_65127	AUC = 0.536
SMC1A_75568	AUC = 0.536
CTCF_46009	AUC = 0.536
CTCF_45847	AUC = 0.536
FOXA1_51453	AUC = 0.535
SIX2_69247	AUC = 0.535
CTCF_49479	AUC = 0.535
RNF2_5603	AUC = 0.535
CTCF_45574	AUC = 0.535
OTX2_74344	AUC = 0.535
RAD21_42845	AUC = 0.535
CTCF_3057	AUC = 0.535
EP300_57305	AUC = 0.535
CTCF_42154	AUC = 0.535
OTX2_74353	AUC = 0.535
CTCF_8103	AUC = 0.534
CTCF_45846	AUC = 0.534
CTCF_46091	AUC = 0.534
CTCF_42151	AUC = 0.534
ATF4_54140	AUC = 0.534
RAD21_42957	AUC = 0.534
CTCF_45573	AUC = 0.534
OTX2_74355	AUC = 0.534
CTCF_45721	AUC = 0.534
SMC3_2899	AUC = 0.534
CTCF_42152	AUC = 0.533
CTCF_45845	AUC = 0.533
NR2F1_56817	AUC = 0.533
SOX2_33217	AUC = 0.533
FOXA2_51457	AUC = 0.533
CTCF_36573	AUC = 0.532
TRIM28_70221	AUC = 0.532
CTCF_76248	AUC = 0.532
ATF7IP_71057	AUC = 0.532
GATA6_51478	AUC = 0.532
CTCF_45706	AUC = 0.532
CTCF_76252	AUC = 0.532
POLR2A_45875	AUC = 0.532
CTCF_8104	AUC = 0.532
CTCF_33561	AUC = 0.532
CTCF_76247	AUC = 0.532
CTCF_45795	AUC = 0.532
CTCF_45703	AUC = 0.531
SIX2_67425	AUC = 0.531
SIX2_69246	AUC = 0.531
CTCF_45844	AUC = 0.531
CTCF_42157	AUC = 0.531
CTCF_51441	AUC = 0.531
CTCF_42159	AUC = 0.531
OTX2_74359	AUC = 0.531
