TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
POU5F1	7.160	4.033e-13	3.289	0.810	0.006	1.135e-06
OTX2	7.339	1.079e-13	3.189	0.829	0.007	1.347e-06
SOX2	6.134	4.272e-10	3.082	0.876	0.012	6.880e-06
EOMES	3.362	3.864e-04	3.236	0.728	0.017	2.398e-05
RAD21	9.486	1.200e-21	3.337	0.601	0.019	2.887e-05
NANOG	4.809	7.590e-07	2.829	0.864	0.022	4.743e-05
CTCF	29.214	6.402e-188	3.393	0.568	0.025	6.640e-05
SMAD2-SMAD3	3.743	9.096e-05	3.167	0.611	0.025	6.946e-05
FOXH1	2.381	8.636e-03	3.220	0.673	0.028	9.743e-05
SMC1A	5.355	4.287e-08	3.174	0.568	0.030	1.273e-04
ATF4	3.750	8.827e-05	3.000	0.612	0.031	1.321e-04
CHD7	2.171	1.497e-02	3.174	0.734	0.031	1.369e-04
SMAD3	3.739	9.230e-05	2.485	0.899	0.037	2.241e-04
SMC3	5.230	8.467e-08	3.101	0.557	0.037	2.309e-04
SMAD2	2.025	2.144e-02	3.131	0.640	0.041	3.159e-04
TRIM28	3.147	8.243e-04	2.861	0.589	0.043	3.699e-04
NEUROD1	4.130	1.813e-05	3.542	0.517	0.045	4.091e-04
GATA4	4.478	3.773e-06	2.853	0.565	0.046	4.298e-04
SSU72	1.708	4.378e-02	3.066	0.735	0.049	5.192e-04
CTNNB1	1.716	4.305e-02	2.923	0.794	0.050	5.682e-04
POLR2AphosphoS5	3.138	8.505e-04	2.563	0.602	0.051	5.939e-04
SIX2	3.929	4.272e-05	2.813	0.548	0.051	6.069e-04
FOXA2	3.578	1.729e-04	2.648	0.584	0.052	6.202e-04
SIX1	2.853	2.166e-03	3.159	0.528	0.052	6.337e-04
NR2F1	2.584	4.889e-03	3.086	0.533	0.055	7.336e-04
ZBTB2	2.046	2.037e-02	3.391	0.529	0.059	9.283e-04
MAFK	2.254	1.209e-02	2.420	0.647	0.061	1.037e-03
SUMO1	4.971	3.325e-07	3.035	0.499	0.063	1.135e-03
SRF	3.000	1.352e-03	2.437	0.569	0.066	1.281e-03
7SK	2.694	3.530e-03	3.080	0.502	0.068	1.392e-03
ASCL1	4.579	2.337e-06	2.355	0.544	0.068	1.392e-03
SMAD1	1.784	3.725e-02	2.348	0.850	0.068	1.439e-03
POLR3D	4.802	7.869e-07	2.670	0.507	0.069	1.462e-03
STAG1	6.757	7.021e-12	2.525	0.513	0.069	1.510e-03
TP53	5.003	2.828e-07	1.847	0.642	0.071	1.635e-03
SMARCA4	2.306	1.057e-02	1.988	0.743	0.074	1.793e-03
BACH1	1.972	2.433e-02	2.461	0.585	0.077	2.078e-03
EHMT2	3.085	1.019e-03	3.095	0.488	0.078	2.170e-03
PDX1	2.022	2.158e-02	2.818	0.520	0.078	2.170e-03
CHD8	2.012	2.213e-02	2.535	0.557	0.079	2.201e-03
ZNF654	2.100	1.785e-02	2.767	0.520	0.079	2.201e-03
GTF2I	3.620	1.473e-04	2.215	0.537	0.079	2.232e-03
REST	3.427	3.050e-04	1.985	0.579	0.081	2.426e-03
ZNF680	2.303	1.064e-02	2.958	0.496	0.083	2.527e-03
5MC	3.062	1.099e-03	2.191	0.529	0.086	2.884e-03
PRDM14	1.568	5.846e-02	2.826	0.529	0.091	3.396e-03
NFE2L1	2.633	4.231e-03	2.309	0.507	0.093	3.565e-03
DMC1	1.445	7.423e-02	3.120	0.514	0.094	3.740e-03
HOTAIR	2.412	7.935e-03	2.930	0.486	0.094	3.740e-03
USF1	1.940	2.619e-02	2.109	0.586	0.094	3.740e-03
TOP1	2.492	6.355e-03	3.065	0.483	0.098	4.298e-03
TERC	2.626	4.318e-03	2.447	0.493	0.099	4.396e-03
GATA6	2.083	1.864e-02	1.977	0.559	0.100	4.445e-03
HOXC9	1.929	2.684e-02	2.571	0.502	0.100	4.445e-03
CTCFL	3.133	8.658e-04	2.018	0.506	0.103	4.856e-03
HAP1	1.542	6.150e-02	2.563	0.526	0.103	4.909e-03
NUP98-HOXA9	1.622	5.241e-02	2.272	0.544	0.103	4.962e-03
ZNF22	1.376	8.439e-02	3.116	0.502	0.103	4.962e-03
TP63	6.231	2.318e-10	1.997	0.494	0.104	5.124e-03
TBX5	2.662	3.881e-03	2.450	0.488	0.106	5.346e-03
BCL11A	1.215	1.121e-01	2.186	0.829	0.107	5.575e-03
SP4	2.455	7.042e-03	1.638	0.584	0.107	5.575e-03
CDK2	1.681	4.636e-02	3.002	0.488	0.108	5.691e-03
TEAD4	2.243	1.245e-02	1.386	0.656	0.111	6.236e-03
DUX4	1.952	2.547e-02	2.383	0.495	0.114	6.748e-03
GRHL3	2.312	1.040e-02	1.966	0.503	0.115	6.814e-03
ZNF793	1.667	4.776e-02	2.926	0.485	0.115	6.814e-03
MAML3	2.222	1.313e-02	2.313	0.489	0.115	6.880e-03
SOX11	1.565	5.874e-02	2.887	0.489	0.115	6.880e-03
MAFF	1.709	4.369e-02	3.027	0.484	0.116	6.947e-03
BMI1	2.215	1.339e-02	2.272	0.490	0.116	7.014e-03
ZIM3	1.688	4.566e-02	2.731	0.488	0.116	7.082e-03
5HMC	2.494	6.317e-03	2.857	0.471	0.119	7.497e-03
ZNF382	2.678	3.702e-03	2.569	0.473	0.123	8.300e-03
RNF2	1.958	2.513e-02	1.739	0.535	0.126	9.077e-03
ATF7IP	1.087	1.385e-01	2.647	0.532	0.127	9.158e-03
JMJD6	2.881	1.981e-03	1.519	0.514	0.127	9.238e-03
ZBTB17	2.393	8.347e-03	2.153	0.485	0.128	9.401e-03
TP73	1.977	2.400e-02	1.908	0.502	0.128	9.484e-03
ZFP57	1.879	3.015e-02	2.020	0.496	0.131	1.007e-02
ZBTB48	3.752	8.774e-05	1.518	0.497	0.133	1.051e-02
MAFG	1.652	4.927e-02	2.791	0.477	0.135	1.105e-02
DPPA2	1.268	1.024e-01	2.935	0.486	0.135	1.114e-02
IRF5	1.264	1.031e-01	2.930	0.486	0.137	1.160e-02
TET2	1.711	4.355e-02	1.783	0.512	0.137	1.160e-02
PRDM1	1.665	4.799e-02	1.837	0.511	0.138	1.170e-02
POU3F2	1.771	3.826e-02	2.068	0.490	0.138	1.179e-02
SP140	1.907	2.825e-02	1.818	0.500	0.138	1.189e-02
598-SKD	2.518	5.905e-03	1.359	0.503	0.143	1.318e-02
PAX6	1.510	6.555e-02	2.757	0.477	0.144	1.349e-02
TCF4	1.087	1.385e-01	1.647	0.760	0.145	1.359e-02
MYOD1	1.792	3.658e-02	1.895	0.490	0.145	1.381e-02
CDCA2	1.358	8.724e-02	2.088	0.499	0.146	1.402e-02
FANCD2	1.222	1.108e-01	3.072	0.481	0.146	1.413e-02
DDX5	0.976	1.645e-01	3.128	0.491	0.147	1.423e-02
ZNF467	1.454	7.300e-02	1.833	0.515	0.147	1.423e-02
GLIS1	1.986	2.350e-02	1.739	0.492	0.147	1.434e-02
MAX	2.076	1.896e-02	0.643	0.621	0.149	1.489e-02
OSR2	1.967	2.458e-02	1.930	0.484	0.150	1.523e-02
ZNF281	1.605	5.428e-02	1.462	0.536	0.150	1.523e-02
FEZF1	1.996	2.297e-02	1.901	0.483	0.152	1.592e-02
SNAI2	2.289	1.103e-02	1.647	0.486	0.153	1.627e-02
ZNF766	1.368	8.572e-02	2.903	0.471	0.154	1.639e-02
LMNA	1.212	1.127e-01	2.013	0.512	0.155	1.663e-02
MYOG	1.309	9.522e-02	2.140	0.491	0.155	1.663e-02
NME2	1.528	6.327e-02	2.564	0.470	0.157	1.736e-02
ZNF534	1.314	9.439e-02	2.027	0.492	0.158	1.773e-02
PRDM6	1.391	8.213e-02	1.765	0.505	0.158	1.785e-02
SCRT1	1.568	5.844e-02	2.774	0.463	0.158	1.785e-02
SOX4	2.032	2.108e-02	1.872	0.478	0.158	1.785e-02
TEAD1	2.213	1.346e-02	1.451	0.491	0.159	1.798e-02
KLF16	1.457	7.261e-02	2.797	0.468	0.159	1.811e-02
PAX3	1.286	9.919e-02	2.191	0.488	0.159	1.811e-02
SOX10	1.297	9.740e-02	2.143	0.490	0.159	1.811e-02
SCRT2	1.468	7.108e-02	3.071	0.461	0.159	1.823e-02
552-SKD	2.510	6.030e-03	0.913	0.505	0.161	1.862e-02
ZNF282	2.049	2.025e-02	0.929	0.518	0.162	1.914e-02
PITX3	1.229	1.096e-01	2.514	0.482	0.164	1.994e-02
PSMA7	1.625	5.213e-02	2.173	0.474	0.164	1.994e-02
NFE2	1.508	6.573e-02	1.115	0.542	0.166	2.063e-02
TRIM24	1.979	2.392e-02	2.234	0.463	0.166	2.063e-02
ZNF263	2.378	8.707e-03	1.315	0.487	0.166	2.063e-02
FOXP2	1.347	8.896e-02	2.028	0.485	0.167	2.091e-02
ZNF468	1.486	6.860e-02	1.299	0.519	0.168	2.133e-02
EBF3	1.232	1.090e-01	2.323	0.482	0.170	2.204e-02
SP1	2.145	1.596e-02	0.200	0.682	0.170	2.219e-02
ZNF2	1.606	5.414e-02	1.679	0.485	0.172	2.307e-02
SMARCC1	1.304	9.618e-02	0.973	0.596	0.173	2.322e-02
ZNF317	1.512	6.530e-02	2.252	0.469	0.173	2.322e-02
CHD5	1.248	1.060e-01	2.118	0.484	0.175	2.398e-02
ZNF425	1.125	1.302e-01	2.806	0.470	0.175	2.429e-02
DRAP1	1.221	1.110e-01	2.237	0.481	0.177	2.491e-02
ZNF182	1.188	1.174e-01	2.416	0.477	0.177	2.491e-02
TFAP4	1.442	7.466e-02	1.715	0.487	0.178	2.554e-02
ZNF384	1.065	1.435e-01	1.840	0.501	0.179	2.570e-02
LMNB1	1.164	1.222e-01	2.447	0.475	0.180	2.635e-02
ZNF479	1.138	1.275e-01	2.525	0.472	0.181	2.651e-02
SMARCE1	0.966	1.671e-01	2.480	0.485	0.181	2.684e-02
SRCAP	1.047	1.475e-01	3.211	0.461	0.182	2.717e-02
ZNF35	1.202	1.147e-01	2.180	0.479	0.183	2.750e-02
C11orf30	1.400	8.076e-02	2.593	0.458	0.184	2.818e-02
HLF	1.439	7.508e-02	2.409	0.459	0.188	2.992e-02
SSRP1	1.516	6.481e-02	2.005	0.466	0.188	3.010e-02
NEUROG2	3.293	4.958e-04	1.588	0.458	0.193	3.210e-02
ZNF93	1.105	1.345e-01	2.453	0.468	0.193	3.229e-02
TTF2	1.268	1.025e-01	1.457	0.492	0.194	3.266e-02
ZNF585A	1.127	1.298e-01	2.271	0.471	0.194	3.304e-02
ZNF485	1.057	1.453e-01	2.743	0.462	0.195	3.323e-02
GATA2	1.024	1.530e-01	1.769	0.494	0.196	3.380e-02
